id	display_context	source	donor	prefix	replacement	display_basis	source_ref	donor_ref	mode	capacity	transform	arguments	reference_refs	parent_mapping_id	legacy_ids
T506	Character selectors > character or variant name	シズネ					NA2_SLPS@0x506480		slot	8					M0609
T507	Character selectors > character or variant name	アスマ					NA2_SLPS@0x506488		slot	8					M0610
T508	Character selectors > character or variant name	テマリ					NA2_SLPS@0x506490		slot	8					M0611
T509	Character selectors > character or variant name	ヤマト					NA2_SLPS@0x506498		slot	8					M0612
T510	Character selectors > character or variant name	リー					NA2_SLPS@0x5064A0		slot	8					M0613
T511	Character selectors > character or variant name	ガイ					NA2_SLPS@0x5064A8		slot	8					M0614
T512	Character selectors > character or variant name	いの					NA2_SLPS@0x5064B0		slot	8					M0615
T513	Character selectors > character or variant name	キバ					NA2_SLPS@0x5064B8		slot	8					M0616
T514	Character selectors > character or variant name	シノ					NA2_SLPS@0x5064C0		slot	8					M0617
T515	Character selectors > character or variant name	ヒナタ					NA2_SLPS@0x5064C8		slot	8					M0618
T516	Character selectors > character or variant name	サイ					NA2_SLPS@0x506650		slot	8					M0620
T517	Character selectors > character or variant name	テマリ					NA2_SLPS@0x506658		slot	8					M0621
T518	Character selectors > character or variant name	サソリ					NA2_SLPS@0x506660		slot	8					M0622
T519	Character selectors > character or variant name	シズネ					NA2_SLPS@0x506668		slot	8					M0623
T520	Character selectors > character or variant name	ヤマト					NA2_SLPS@0x506670		slot	8					M0624
T521	Character selectors > character or variant name	ナルト					NA2_SLPS@0x506B10		slot	8					M0854
T522	Character selectors > character or variant name	サイ					NA2_SLPS@0x506fe0		slot	8					M0765
T523	Character selectors > character or variant name	テマリ					NA2_SLPS@0x506fe8		slot	8					M0766
T524	Character selectors > character or variant name	サソリ					NA2_SLPS@0x506ff0		slot	8					M0767
T525	Character selectors > character or variant name	シズネ					NA2_SLPS@0x506ff8		slot	8					M0768
T526	Character selectors > character or variant name	ヤマト					NA2_SLPS@0x507000		slot	8					M0769
T527	Collection > category label	シミュレーション					NA2_ETC@0x2DDA0		slot	24					M0528
T528	Collection > Characters > selector label	<r対戦相手|たいせんあいて>					NA2_ETC@0x2EE50		slot	32					M0529,M0550
T529	Collection > Figures > character animation title	ジオラマ					NA2_ETC@0x25928		slot	28					M0297
T530	Collection > Figures > character animation title	オッス！					NA2_ETC@0x25CD8		slot	16					M2186
T531	Collection > Figures > character animation title	<r影分身|かげぶんしん>の<r術|じゅつ>					NA2_ETC@0x25D00		slot	40					M0298
T532	Collection > Figures > character animation title	<r暴走|ぼうそう>					NA2_ETC@0x25D40		slot	24					M0299
T533	Collection > Figures > character animation title	<r気|き>を<r引|ひ>き<r締|し>めて…					NA2_ETC@0x25D70		slot	40					M0300
T534	Collection > Figures > character animation title	<r女|おんな>らしく					NA2_ETC@0x25DB0		slot	24					M0301
T535	Collection > Figures > character animation title	<r拳|こぶし>に<r力|ちから>を！					NA2_ETC@0x25DE0		slot	32					M0302
T536	Collection > Figures > character animation title	<r忍法|にんぽう>・<r超獣偽画|ちょうじゅうぎが>					NA2_ETC@0x25E10		slot	48					M0303
T537	Collection > Figures > character animation title	<r索敵|さくてき>					NA2_ETC@0x25E50		slot	24					M0304
T538	Collection > Figures > character animation title	<r飛翔|ひしょう>					NA2_ETC@0x25E80		slot	24					M0305
T539	Collection > Figures > character animation title	<r最新作熟読中|さいしんさくじゅくどくちゅう>					NA2_ETC@0x25EB0		slot	48					M2187
T540	Collection > Figures > character animation title	<r牽制攻撃|けんせいこうげき>					NA2_ETC@0x25EF0		slot	32					M0306
T541	Collection > Figures > character animation title	<r忍犬口寄|にんけんくちよ>せ					NA2_ETC@0x25F20		slot	32					M0307
T542	Collection > Figures > character animation title	<r柔拳|じゅうけん>					NA2_ETC@0x25F50		slot	24					M0308
T543	Collection > Figures > character animation title	<r八卦空掌|はっけくうしょう>					NA2_ETC@0x25F80		slot	32					M0309
T544	Collection > Figures > character animation title	<r点穴打突|てんけつだとつ>！！					NA2_ETC@0x25FB0		slot	32					M2188
T545	Collection > Figures > character animation title	<r戦闘姿勢|せんとうしせい>					NA2_ETC@0x25FE0		slot	32					M0310
T546	Collection > Figures > character animation title	<r木|こ>ノ<r葉昇風|はしょうふう>					NA2_ETC@0x26010		slot	40					M0311
T547	Collection > Figures > character animation title	<r限界|げんかい>を<r超|こ>えろ！					NA2_ETC@0x26050		slot	40					M0312
T548	Collection > Figures > character animation title	<r忍具|にんぐ>の<r使|つか>い<r手|て>					NA2_ETC@0x26090		slot	40					M0313
T549	Collection > Figures > character animation title	<r棒体術|ぼうたいじゅつ>					NA2_ETC@0x260D0		slot	32					M0314
T550	Collection > Figures > character animation title	<r仕込|しこ>み<r炸裂|さくれつ>！					NA2_ETC@0x26100		slot	40					M2189
T551	Collection > Figures > character animation title	<r熱血青春|ねっけつせいしゅん>ポーズ！					NA2_ETC@0x26140		slot	40					M0315
T552	Collection > Figures > character animation title	<r開門|かいもん>ッ！					NA2_ETC@0x261B0		slot	24					M0317
T553	Collection > Figures > character animation title	ホラよっ！					NA2_ETC@0x261E8		slot	16					M0717
T554	Collection > Figures > character animation title	<r変|か>わらぬチョウジ					NA2_ETC@0x26250		slot	24					M2190
T555	Collection > Figures > character animation title	<r張|は>り<r手|て>の<r構|かま>え					NA2_ETC@0x26280		slot	40					M2191
T556	Collection > Figures > character animation title	おっひさー！					NA2_ETC@0x262F8		slot	16					M2218
T557	Collection > Figures > character animation title	かわいさアピール					NA2_ETC@0x26320		slot	24					M0319
T558	Collection > Figures > character animation title	<r綺麗|きれい>な<r花|はな>					NA2_ETC@0x26350		slot	32					M0320
T559	Collection > Figures > character animation title	やれやれ					NA2_ETC@0x26380		slot	16					M2192
T560	Collection > Figures > character animation title	<r装着|そうちゃく>！					NA2_ETC@0x263A0		slot	24					M0321
T561	Collection > Figures > character animation title	<r一閃|いっせん>！					NA2_ETC@0x263D0		slot	24					M0322
T562	Collection > Figures > character animation title	<r登場|とうじょう>					NA2_ETC@0x26400		slot	24					M0323
T563	Collection > Figures > character animation title	いつでもいっしょ					NA2_ETC@0x26430		slot	24					M2193
T564	Collection > Figures > character animation title	ダイナミック！					NA2_ETC@0x26458		slot	16					M0324
T565	Collection > Figures > character animation title	<r静|しず>かな<r男|おとこ>					NA2_ETC@0x26480		slot	32					M0325
T566	Collection > Figures > character animation title	<r寄壊蟲|きかいちゅう>					NA2_ETC@0x264B0		slot	24					M0326
T567	Collection > Figures > character animation title	<r広|ひろ>がる<r蟲|むし>たち					NA2_ETC@0x264E0		slot	32					M2194
T568	Collection > Figures > character animation title	<r闘|たたか>う<r決意|けつい>！					NA2_ETC@0x26510		slot	32					M2195
T569	Collection > Figures > character animation title	<r心|こころ>の<r準備|じゅんび>が…					NA2_ETC@0x26540		slot	40					M2196
T570	Collection > Figures > character animation title	<r掌打|しょうだ>！					NA2_ETC@0x26580		slot	24					M0327
T571	Collection > Figures > character animation title	ベスト<r着用|ちゃくよう>					NA2_ETC@0x265B0		slot	32					M2197
T572	Collection > Figures > character animation title	<r幻術発動|げんじゅつはつどう>					NA2_ETC@0x265E0		slot	32					M0328
T573	Collection > Figures > character animation title	こんなものね					NA2_ETC@0x26610		slot	16					M0329
T574	Collection > Figures > character animation title	<r威圧|いあつ>					NA2_ETC@0x26630		slot	16					M0330
T575	Collection > Figures > character animation title	<r砂|すな>の<r殻|から>					NA2_ETC@0x26650		slot	24					M0331
T576	Collection > Figures > character animation title	<r逃|に>がさん…					NA2_ETC@0x26680		slot	24					M0332
T577	Collection > Figures > character animation title	<r傀儡|くぐつ>の<r巻物|まきもの>					NA2_ETC@0x266C0		slot	40					M0333
T578	Collection > Figures > character animation title	<r傀儡勢揃|くぐつせいぞろ>い！					NA2_ETC@0x26700		slot	32					M2198
T579	Collection > Figures > character animation title	<r巨大扇子|きょだいせんす>					NA2_ETC@0x26730		slot	32					M0334
T580	Collection > Figures > character animation title	<r団子|だんご>で<r一息|ひといき>					NA2_ETC@0x26760		slot	40					M2199
T581	Collection > Figures > character animation title	カマタリと<r一緒|いっしょ>					NA2_ETC@0x267A0		slot	32					M2200
T582	Collection > Figures > character animation title	まだまだ<r現役|げんえき>					NA2_ETC@0x267D0		slot	32					M2201
T583	Collection > Figures > character animation title	<r父|ちち>と<r母|はは>					NA2_ETC@0x26800		slot	24					M0335
T584	Collection > Figures > character animation title	<r仕込|しこ>み					NA2_ETC@0x26828		slot	16					M2202
T585	Collection > Figures > character animation title	<r指一|ゆびひと>つあれば…					NA2_ETC@0x26850		slot	32					M2203
T586	Collection > Figures > character animation title	<r鋭|するど>い<r蹴|け>り					NA2_ETC@0x26880		slot	32					M0336
T587	Collection > Figures > character animation title	<r幻術|げんじゅつ>！？					NA2_ETC@0x268B0		slot	24					M0337
T588	Collection > Figures > character animation title	<r大刀|だいとう>を<r携|たずさ>えて					NA2_ETC@0x268E0		slot	40					M2204
T589	Collection > Figures > character animation title	<r大刀|だいとう>・<r鮫肌|サメハダ>					NA2_ETC@0x26920		slot	40					M0338
T590	Collection > Figures > character animation title	<r襲|おそ>い<r来|く>る<r怪人|かいじん>！					NA2_ETC@0x26960		slot	48					M2205
T591	Collection > Figures > character animation title	<r楽|たの>しめそうだな					NA2_ETC@0x269A0		slot	24					M2206
T592	Collection > Figures > character animation title	<r芸術作品|げいじゅつさくひん>					NA2_ETC@0x269D0		slot	32					M0339
T593	Collection > Figures > character animation title	<r空|そら>から<r攻|せ>める！					NA2_ETC@0x26A00		slot	32					M0340
T594	Collection > Figures > character animation title	<r完璧|かんぺき>なる<r攻守|こうしゅ>					NA2_ETC@0x26A30		slot	40					M0341
T595	Collection > Figures > character animation title	<r一番|いちばん>のお<r気|き>に<r入|い>り					NA2_ETC@0x26A70		slot	48					M0342
T596	Collection > Figures > character animation title	<r自分自身|じぶんじしん>					NA2_ETC@0x26AB0		slot	32					M0343
T597	Collection > Figures > character animation title	あいや<r自来也|じらいや>！					NA2_ETC@0x26AE0		slot	32					M2207
T598	Collection > Figures > character animation title	<r四代目|よんだいめ>が<r遺|のこ>した<r術|じゅつ>					NA2_ETC@0x26B10		slot	56					M0344
T599	Collection > Figures > character animation title	<r蝦蟇仙人|ガマせんにん>					NA2_ETC@0x26B60		slot	32					M0345
T600	Collection > Figures > character animation title	コレ<r一本|いっぽん>で<r十分|じゅうぶん>					NA2_ETC@0x26B90		slot	48					M2208
T601	Collection > Figures > character animation title	<r考|かんが>え<r事|ごと>					NA2_ETC@0x26BD0		slot	32					M2209
T602	Collection > Figures > character animation title	<r痛天脚|つうてんきゃく>					NA2_ETC@0x26C00		slot	32					M0346
T603	Collection > Figures > character animation title	お<r世話係|せわかか>り					NA2_ETC@0x26C40		slot	24					M2210
T604	Collection > Figures > character animation title	<r突撃|とつげき>！					NA2_ETC@0x26C70		slot	24					M0347
T605	Collection > Figures > character animation title	うんうん					NA2_ETC@0x26C98		slot	16					M2211
T606	Collection > Figures > character animation title	<r跳躍|ちょうやく>！					NA2_ETC@0x26CC0		slot	24					M2212
T607	Collection > Figures > character animation title	<r木遁|もくとん>・<r木錠壁|もくじょうへき>					NA2_ETC@0x26CF0		slot	48					M0348
T608	Collection > Figures > character animation title	<r不敵|ふてき>な<r笑|え>み					NA2_ETC@0x26D30		slot	32					M0349
T609	Collection > Figures > character animation title	<r脅威|きょうい>の<r存在|そんざい>					NA2_ETC@0x26DA0		slot	40					M0351
T610	Collection > Figures > character animation title	<r大蛇丸|オロチまる>への<r忠誠|ちゅうせい>					NA2_ETC@0x26DE0		slot	48					M0352
T611	Collection > Figures > character animation title	あーあ…					NA2_ETC@0x26E20		slot	16					M2213
T612	Collection > Figures > character animation title	ストック					NA2_ETC@0x26E40		slot	16					M0353
T613	Collection > Figures > character animation title	<r冷|つめ>たい<r視線|しせん>					NA2_ETC@0x26E60		slot	32					M2214
T614	Collection > Figures > character animation title	<r草薙|くさなぎ>の<r剣|つるぎ>！					NA2_ETC@0x26E90		slot	40					M2215
T615	Collection > Figures > character animation title	<r千鳥|ちどり>					NA2_ETC@0x26EC8		slot	28					M0354
T616	Collection > Figures > character animation title	ふー…					NA2_SLPS@0x507058		slot	8					M2216
T617	Collection > Figures > character animation title	さて…					NA2_SLPS@0x5070A8		slot	8					M2219
T618	Collection > Figures > character animation title	エヘヘ					NA2_SLPS@0x507110		slot	8					M2217
T619	Collection > Movie list > scene title	<r紅班勢揃|くれないはんせいぞろ>い					NA2_ETC@0x2d950		slot	40					M0777
T620	Collection > Movie list > scene title	いのシカチョウトリオ					NA2_ETC@0x2D9D0		slot	24					M0787
T621	Collection > Movie list > scene title	ナルトの<r帰郷|ききょう>					NA2_ETC@0x2da30		slot	32					M0778
T622	Collection > Movie list > scene title	<r風影|かぜかげ>の<r闘|たたか>い					NA2_ETC@0x2da70		slot	40					M0779
T623	Collection > Movie list > scene title	<r木|こ>ノ<r葉|は>の<r白|しろ>い<r牙|きば>！？					NA2_ETC@0x2dae0		slot	48					M0780
T624	Collection > Movie list > scene title	“<r暁|あかつき>”の<r目的|もくてき>					NA2_ETC@0x2db80		slot	40					M0781
T625	Collection > Movie list > scene title	<r傀儡師|くぐつし>の<r激闘|げきとう>					NA2_ETC@0x2dc30		slot	40					M0782
T626	Collection > Movie list > scene title	<r突然|とつぜん>の<r襲撃|しゅうげき>！					NA2_ETC@0x2dca0		slot	40					M0783
T627	Collection > Movie list > scene title	<r人外|じんがい>の<r闘|たたか>い					NA2_ETC@0x2de70		slot	40					M0784
T628	Collection > Movie list > scene title	<r運命|うんめい>の<r再会|さいかい>					NA2_ETC@0x2df50		slot	40					M0785
T629	Collection > Movie list > scene title	<r漆黒|しっこく>に<r浮|う>かぶ<r影|かげ>					NA2_ETC@0x2dff0		slot	48					M0786
T630	Collection > Movies > movie title	<ruby再会|さいかい>の<ruby時|とき>・<ruby壱|いち>					NA2_SLPS@0x2FFBA0		slot	64					M0770
T631	Collection > Movies > movie title	<ruby封印術|ふういんじゅつ>・<ruby幻龍九封尽|げんりゅうきゅうふうじん>					NA2_SLPS@0x2ffbe0		slot	80					M0771
T632	Collection > Movies > movie title	<ruby常闇|とこやみ>の<ruby者|もの>たち					NA2_SLPS@0x2ffc30		slot	48					M0772
T633	Collection > Movies > movie title	<ruby忍法|にんぽう>・<ruby超獣偽画|ちょうじゅうぎが>					NA2_SLPS@0x2ffc60		slot	64					M0773
T634	Collection > Movies > movie title	<ruby第四|だいよん>の<ruby覚醒|かくせい>					NA2_SLPS@0x2ffca0		slot	48					M0774
T635	Collection > Movies > movie title	<ruby再会|さいかい>の<ruby時|とき>・<ruby弐|に>					NA2_SLPS@0x2ffcd0		slot	48					M0775
T636	Collection > Movies > movie title	スタッフロール					NA2_SLPS@0x2ffd00		slot	28					M0776
T637	Collection > Music > track title	<r木|こ>ノ<r葉|は><r隠|がく>れの<r里|さと>					NA2_ETC@0x2B2E0		slot	48					M0361
T638	Collection > Music > track title	<r木|こ>ノ<r葉|は>の<r門|もん>					NA2_ETC@0x2B310		slot	32					M0362
T639	Collection > Music > track title	<r五封結界|ごふうけっかい>の<r崖|がけ>					NA2_ETC@0x2B330		slot	48					M0363
T640	Collection > Music > track title	<r暁|あかつき>のアジト					NA2_ETC@0x2B360		slot	32					M0364
T641	Collection > Music > track title	<r根|ね>の<r本部|ほんぶ>					NA2_ETC@0x2B380		slot	32					M0365
T642	Collection > Music > track title	<r天地橋|てんちきょう>					NA2_ETC@0x2B3A0		slot	32					M0366
T643	Collection > Music > track title	<r大蛇丸|オロチまる>のアジト					NA2_ETC@0x2B3C0		slot	32					M0367
T644	Collection > Music > track title	<r大蛇|だいじゃ>の<r祭壇|さいだん>					NA2_ETC@0x2B3E0		slot	48					M0368
T645	Collection > Music > track title	<r賑|にぎ>わいの<r里|さと>					NA2_ETC@0x2B410		slot	32					M0369
T646	Collection > Music > track title	<r火影|ほかげ>の<r屋敷|やしき>					NA2_ETC@0x2B430		slot	32					M0370
T647	Collection > Music > track title	<r世界|せかい>を<r駆|か>ける					NA2_ETC@0x2B450		slot	32					M0371
T648	Collection > Music > track title	<r砂隠|すながく>れの<r里|さと>					NA2_ETC@0x2B470		slot	32					M0372
T649	Collection > Music > track title	<r邪傑|じゃけつ>の<r巣穴|すあな>					NA2_ETC@0x2B490		slot	48					M0373
T650	Collection > Music > track title	<r赤雲|せきうん>					NA2_ETC@0x2B4C0		slot	32					M0374
T651	Collection > Music > track title	<r激戦|げきせん>を<r越|こ>えて					NA2_ETC@0x2B4E0		slot	32					M0375
T652	Collection > Music > track title	カカシ<r道場|どうじょう>					NA2_ETC@0x2B500		slot	32					M0376
T653	Collection > Music > track title	やすらぎと<r再会|さいかい>と					NA2_ETC@0x2B520		slot	32					M0377
T654	Collection > Music > track title	<r暗雲|あんうん><r来|きた>る					NA2_ETC@0x2B540		slot	32					M0378
T655	Collection > Music > track title	<r風影|かぜかげ><r襲撃|しゅうげき>					NA2_ETC@0x2B560		slot	48					M0379
T656	Collection > Music > track title	<r緊急指令|きんきゅうしれい>					NA2_ETC@0x2B590		slot	32					M0380
T657	Collection > Music > track title	<r走|はし>る<r緊迫|きんぱく>					NA2_ETC@0x2B5B0		slot	32					M0381
T658	Collection > Music > track title	<r恐|おそ>ろしき<r怪人|かいじん>					NA2_ETC@0x2B5D0		slot	48					M0382
T659	Collection > Music > track title	<r真紅|しんく>の<r激闘|げきとう>					NA2_ETC@0x2B600		slot	48					M0383
T660	Collection > Music > track title	<r闇|やみ>を<r抱|いだ>きし<r者|もの>たち					NA2_ETC@0x2B630		slot	48					M0384
T661	Collection > Music > track title	<r虚|うつ>ろ<r消|き>えゆく<r世界|せかい>					NA2_ETC@0x2B660		slot	48					M0385
T662	Collection > Music > track title	<r絆|きずな>					NA2_ETC@0x2B690		slot	16					M0386
T663	Collection > Music > track title	<r偽|いつわ>りの<r存在|そんざい>					NA2_ETC@0x2B6A0		slot	48					M0387
T664	Collection > Music > track title	<r最凶|さいきょう>の<r傀儡師|くぐつし>					NA2_ETC@0x2B6D0		slot	48					M0388
T665	Collection > Music > track title	<r決意|けつい><r固|かた>めて					NA2_ETC@0x2B700		slot	32					M0389
T666	Collection > Music > track title	サクラ<r舞|ま>う					NA2_ETC@0x2B720		slot	32					M0390
T667	Collection > Music > track title	<r猛|た>け<r吼|ほ>ゆる<r者|もの>					NA2_ETC@0x2B740		slot	48					M0391
T668	Collection > Music > track title	<r願|ねが>い…<r空|そら>に<r舞|ま>いて					NA2_ETC@0x2B770		slot	48					M0392
T669	Collection > Music > track title	<r新生|しんせい>の<r一斑|いっぱん>					NA2_ETC@0x2B7A0		slot	48					M0393
T670	Collection > Music > track title	<r碧|あお>き<r背中|せなか>					NA2_ETC@0x2B7D0		slot	32					M0394
T671	Collection > Music > track title	<r巨悪現|きょあくあらわ>る					NA2_ETC@0x2B7F0		slot	32					M0395
T672	Collection > Music > track title	<r荒|あ>れ<r狂|くる>う<r獣|けもの>					NA2_ETC@0x2B810		slot	48					M0396
T673	Collection > Music > track title	<r切迫|せっぱく>の<r二人|ふたり>					NA2_ETC@0x2B840		slot	48					M0397
T674	Collection > Music > track title	<r帰|かえ>るべき<r場所|ばしょ>へ					NA2_ETC@0x2B870		slot	40					M0398
T675	Collection > Music > track title	オルゴール					NA2_ETC@0x2B898		slot	28					M0399
T676	Collection > quit confirmation	<color080860>コレクション<color000000>を<r終了|しゅうりょう>しますか？					NA2_ETC@0x24F50		slot	72					M0788
T677	Collection > Voice > character voice title	<r悲|かな>しみと<r怒|いか>り					NA2_ETC@0x2BB60		slot	32					M0400
T678	Collection > Voice > character voice title	ナルトの<r決意|けつい>					NA2_ETC@0x2BB80		slot	32					M0401
T679	Collection > Voice > character voice title	<r激情|げきじょう>					NA2_ETC@0x2BBA0		slot	32					M0402
T680	Collection > Voice > character voice title	<r二人|ふたり>の<r繋|つな>がり					NA2_ETC@0x2BBC0		slot	32					M0403
T681	Collection > Voice > character voice title	<r再会|さいかい>…そして…					NA2_ETC@0x2BBE0		slot	32					M0404
T682	Collection > Voice > character voice title	サクラの<r約束|やくそく>					NA2_ETC@0x2BC00		slot	32					M0405
T683	Collection > Voice > character voice title	<r決意|けつい>					NA2_ETC@0x2BC20		slot	16					M0406
T684	Collection > Voice > character voice title	<r負|ま>けん<r気|き>					NA2_ETC@0x2BC30		slot	24					M0407
T685	Collection > Voice > character voice title	ナルトのために					NA2_ETC@0x2BC48		slot	24					M0408
T686	Collection > Voice > character voice title	いつも<r通|どお>り					NA2_ETC@0x2BC60		slot	32					M0409
T687	Collection > Voice > character voice title	<r初|はじ>めての<r一言|ひとこと>					NA2_ETC@0x2BC80		slot	48					M0410
T688	Collection > Voice > character voice title	<r狙|ねら>ったキャラ<r位置|いち>					NA2_ETC@0x2BCB0		slot	48					M0411
T689	Collection > Voice > character voice title	<r冷|つめ>たい<r言葉|ことば>					NA2_ETC@0x2BCE0		slot	32					M0412
T690	Collection > Voice > character voice title	<r感情|かんじょう>					NA2_ETC@0x2BD00		slot	32					M0721
T691	Collection > Voice > character voice title	<r確|たし>かめたいもの					NA2_ETC@0x2BD20		slot	32					M0722
T692	Collection > Voice > character voice title	カカシの<r本気|ほんき>					NA2_ETC@0x2BD40		slot	32					M0723
T693	Collection > Voice > character voice title	<r成長|せいちょう>への<r喜|よろこ>び					NA2_ETC@0x2BD60		slot	48					M0413
T694	Collection > Voice > character voice title	ナルトの<r気持|きも>ち・<r壱|いち>					NA2_ETC@0x2BD90		slot	48					M0414
T695	Collection > Voice > character voice title	ナルトの<r気持|きも>ち・<r弐|に>					NA2_ETC@0x2BDC0		slot	48					M0415
T696	Collection > Voice > character voice title	<r正|ただ>しき<r道|みち>へ					NA2_ETC@0x2BDF0		slot	32					M0416
T697	Collection > Voice > character voice title	“<r暁|あかつき>”を<r前|まえ>に					NA2_ETC@0x2BE10		slot	48					M0417
T698	Collection > Voice > character voice title	<r偽者|にせもの>との<r遭遇|そうぐう>					NA2_ETC@0x2BE40		slot	48					M0418
T699	Collection > Voice > character voice title	<r勝利|しょうり>の<r確信|かくしん>					NA2_ETC@0x2BE70		slot	48					M0419
T700	Collection > Voice > character voice title	<r近距離戦|きんきょりせん>					NA2_ETC@0x2BEA0		slot	32					M0420
T701	Collection > Voice > character voice title	<r揺|ゆ>るぎない<r自信|じしん>					NA2_ETC@0x2BEC0		slot	32					M0421
T702	Collection > Voice > character voice title	<r修業不足|しゅぎょうぶそく>？					NA2_ETC@0x2BEE0		slot	32					M0422
T703	Collection > Voice > character voice title	<r勝利|しょうり>！					NA2_ETC@0x2BF00		slot	32					M0423
T704	Collection > Voice > character voice title	<r真剣勝負|しんけんしょうぶ>！					NA2_ETC@0x2BF20		slot	32					M0424
T705	Collection > Voice > character voice title	<r青春|せいしゅん>とは！					NA2_ETC@0x2BF40		slot	32					M0425
T706	Collection > Voice > character voice title	<r感激|かんげき>！					NA2_ETC@0x2BF60		slot	32					M0426
T707	Collection > Voice > character voice title	つっこみ<r役|やく>					NA2_ETC@0x2BF80		slot	32					M0427
T708	Collection > Voice > character voice title	テンテンの<r自信|じしん>					NA2_ETC@0x2BFA0		slot	32					M0428
T709	Collection > Voice > character voice title	<r勝負開始|しょうぶかいし>					NA2_ETC@0x2BFC0		slot	32					M0429
T710	Collection > Voice > character voice title	ちょっと<r感心|かんしん>					NA2_ETC@0x2BFE0		slot	32					M0430
T711	Collection > Voice > character voice title	<r川|かわ>の<r国|くに>へ！！					NA2_ETC@0x2C000		slot	32					M0431
T712	Collection > Voice > character voice title	<r獣|けもの>レベル…？					NA2_ETC@0x2C020		slot	32					M0432
T713	Collection > Voice > character voice title	<r高揚|こうよう>する<r心|こころ>！！					NA2_ETC@0x2C040		slot	40					M0433
T714	Collection > Voice > character voice title	さすがオレ！！					NA2_ETC@0x2C068		slot	24					M0434
T715	Collection > Voice > character voice title	<r謎|なぞ>の<r忍現|しのびあらわ>る					NA2_ETC@0x2C080		slot	40					M0435
T716	Collection > Voice > character voice title	やはりシカマル					NA2_ETC@0x2C0A8		slot	24					M2220
T717	Collection > Voice > character voice title	<r面倒|めんどう>くささ<r満点|まんてん>					NA2_ETC@0x2C0C0		slot	48					M0436
T718	Collection > Voice > character voice title	<r男|おとこ>の<r意地|いじ>					NA2_ETC@0x2C0F0		slot	32					M0437
T719	Collection > Voice > character voice title	<r明晰|めいせき>な<r頭脳|ずのう>					NA2_ETC@0x2C110		slot	48					M0438
T720	Collection > Voice > character voice title	ポッチャリ<r系|けい>					NA2_ETC@0x2C140		slot	32					M0724
T721	Collection > Voice > character voice title	<r強力|ごうりき>チョウジ					NA2_ETC@0x2C160		slot	32					M0439
T722	Collection > Voice > character voice title	シカマルとの<r連係|れんけい>					NA2_ETC@0x2C180		slot	32					M0440
T723	Collection > Voice > character voice title	<r準備万端|じゅんびばんたん>					NA2_ETC@0x2C1A0		slot	32					M0441
T724	Collection > Voice > character voice title	<r旧知|きゅうち>の<r仲|なか>					NA2_ETC@0x2C1C0		slot	32					M0442
T725	Collection > Voice > character voice title	いの<r登場|とうじょう>					NA2_ETC@0x2C1E0		slot	32					M0443
T726	Collection > Voice > character voice title	<r久々|ひさびさ>の<r対面|たいめん>					NA2_ETC@0x2C200		slot	48					M0444
T727	Collection > Voice > character voice title	サクラと<r共闘|きょうとう>？					NA2_ETC@0x2C230		slot	32					M0445
T728	Collection > Voice > character voice title	チョウジと<r連係|れんけい>					NA2_ETC@0x2C250		slot	32					M0446
T729	Collection > Voice > character voice title	<r自信満々|じしんまんまん>					NA2_ETC@0x2C270		slot	32					M0447
T730	Collection > Voice > character voice title	<r戦闘|せんとう>へ					NA2_ETC@0x2C290		slot	32					M0448
T731	Collection > Voice > character voice title	<r優|やさ>しい<r言葉|ことば>					NA2_ETC@0x2C2B0		slot	32					M0449
T732	Collection > Voice > character voice title	<r感謝|かんしゃ>					NA2_ETC@0x2C2D0		slot	32					M0450
T733	Collection > Voice > character voice title	アスマの<r意地|いじ>					NA2_ETC@0x2C2F0		slot	32					M0451
T734	Collection > Voice > character voice title	<r新|あら>たな<r手|て>					NA2_ETC@0x2C310		slot	32					M0452
T735	Collection > Voice > character voice title	ナルトとの<r再会|さいかい>					NA2_ETC@0x2C330		slot	32					M0453
T736	Collection > Voice > character voice title	<r大|おお>きくなった？					NA2_ETC@0x2C350		slot	32					M0454
T737	Collection > Voice > character voice title	ヒナタが<r倒|たお>れて					NA2_ETC@0x2C370		slot	32					M0455
T738	Collection > Voice > character voice title	ヒナタを<r守|まも>って					NA2_ETC@0x2C390		slot	24					M0456
T739	Collection > Voice > character voice title	キバとシノ					NA2_ETC@0x2C3A8		slot	16					M2221
T740	Collection > Voice > character voice title	シノとナルト					NA2_ETC@0x2C3B8		slot	24					M2222
T741	Collection > Voice > character voice title	<r拗|す>ねるシノ・<r壱|いち>					NA2_ETC@0x2C3D0		slot	32					M2223
T742	Collection > Voice > character voice title	<r拗|す>ねるシノ・<r弐|に>					NA2_ETC@0x2C3F0		slot	32					M2224
T743	Collection > Voice > character voice title	<r静|しず>かなる<r自信|じしん>					NA2_ETC@0x2C410		slot	32					M0457
T744	Collection > Voice > character voice title	<r微|かす>かな<r安心|あんしん>					NA2_ETC@0x2C430		slot	32					M0458
T745	Collection > Voice > character voice title	ナルトを<r見|み>かけて					NA2_ETC@0x2C450		slot	32					M0459
T746	Collection > Voice > character voice title	<r戦闘前|せんとうまえ>					NA2_ETC@0x2C470		slot	32					M0460
T747	Collection > Voice > character voice title	つのる<r心配|しんぱい>					NA2_ETC@0x2C490		slot	32					M0461
T748	Collection > Voice > character voice title	ナルトの<r助太刀|すけだち>					NA2_ETC@0x2C4B0		slot	32					M0462
T749	Collection > Voice > character voice title	<r感謝|かんしゃ>の<r言葉|ことば>					NA2_ETC@0x2C4D0		slot	48					M0463
