mapping_id	enabled	container_id	target_texture	donor_texture	transform	reason
UI-VICTORY-035	1	mode1_nrw	x\name\nrw\name.bmp	x\name\nrw\name.bmp	whole	Official English victory character-name artwork imported with the complete NUN5 character resource.
UI-VICTORY-036	1	mode1_orw	x\name\orc\name.bmp	x\name\orw\name.bmp	whole	Official English victory character-name artwork imported with the complete NUN5 character resource.
UI-VICTORY-037	1	mode1_roc	x\name\roc\name.bmp	x\name\roc\name.bmp	whole	Official English victory character-name artwork imported with the complete NUN5 character resource.
UI-VICTORY-038	1	mode1_row	x\name\roc\name.bmp	x\name\row\name.bmp	whole	Official English victory character-name artwork imported with the complete NUN5 character resource.
UI-VICTORY-039	1	mode1_sai	x\battle\name\sai\name.bmp	x\name\sai\name.bmp	whole	Official English victory character-name artwork imported with the complete NUN5 character resource.
UI-VICTORY-040	1	mode1_sch	x\name\sco\name.bmp	x\name\sch\name.bmp	whole	Official English victory character-name artwork imported with the complete NUN5 character resource.
UI-VICTORY-041	1	mode1_sco	x\name\sco\name.bmp	x\name\sco\name.bmp	whole	Official English victory character-name artwork imported with the complete NUN5 character resource.
UI-VICTORY-042	1	mode1_sec	x\name\02hkg\name.bmp	x\name\sec\name.bmp	whole	Official English victory character-name artwork imported with the complete NUN5 character resource.
UI-VICTORY-043	1	mode1_sik	x\name\sik\name.bmp	x\name\sik\name.bmp	whole	Official English victory character-name artwork imported with the complete NUN5 character resource.
UI-VICTORY-044	1	mode1_sin	x\name\sin\name.bmp	x\name\sin\name.bmp	whole	Official English victory character-name artwork imported with the complete NUN5 character resource.
UI-VICTORY-045	1	mode1_siw	x\name\sik\name.bmp	x\name\siw\name.bmp	whole	Official English victory character-name artwork imported with the complete NUN5 character resource.
UI-VICTORY-046	1	mode1_skn	x\name\skn\name.bmp	x\name\skn\name.bmp	indexed_crop_transparent_top_left_256x128_nearest_palette_0-1-2-3-4-5-6-7-9-10-11-12-13-14	Official English Shikamaru victory-name artwork; retain the compatible NA2 CCS structure and omit only the faintest donor antialias shade to fit the fixed member.
UI-VICTORY-047	1	mode1_skr	x\name\skr\name.bmp	x\name\skr\name.bmp	whole	Official English victory character-name artwork imported with the complete NUN5 character resource.
UI-VICTORY-048	1	mode1_skw	x\name\skw\name.bmp	x\name\skw\name.bmp	whole	Official English victory character-name artwork imported with the complete NUN5 character resource.
UI-VICTORY-049	1	mode1_snw	x\name\sin\name.bmp	x\name\snw\name.bmp	whole	Official English victory character-name artwork imported with the complete NUN5 character resource.
UI-VICTORY-050	1	mode1_ssk	x\name\ssk\name.bmp	x\name\ssk\name.bmp	whole	Official English victory character-name artwork imported with the complete NUN5 character resource.
UI-VICTORY-051	1	mode1_ssw	x\name\ssk\name.bmp	x\name\ssw\name.bmp	whole	Official English victory character-name artwork imported with the complete NUN5 character resource.
UI-VICTORY-052	1	mode1_szw	x\name\szn\name.bmp	x\name\szw\name.bmp	whole	Official English victory character-name artwork imported with the complete NUN5 character resource.
UI-VICTORY-053	1	mode1_ten	x\name\ten\name.bmp	x\name\ten\name.bmp	whole	Official English victory character-name artwork imported with the complete NUN5 character resource.
UI-VICTORY-054	1	mode1_tew	x\name\ten\name.bmp	x\name\tew\name.bmp	whole	Official English victory character-name artwork imported with the complete NUN5 character resource.
UI-VICTORY-055	1	mode1_tmr	x\name\tmr\name.bmp	x\name\tmr\name.bmp	whole	Official English victory character-name artwork imported with the complete NUN5 character resource.
UI-VICTORY-056	1	mode1_tmw	x\name\tmr\name.bmp	x\name\tmw\name.bmp	whole	Official English victory character-name artwork imported with the complete NUN5 character resource.
UI-VICTORY-057	1	mode1_tnw	x\name\tnd\name.bmp	x\name\tnw\name.bmp	whole	Official English victory character-name artwork imported with the complete NUN5 character resource.
UI-VICTORY-058	1	mode1_tyo	x\name\tyo\name.bmp	x\name\tyo\name.bmp	whole	Official English victory character-name artwork imported with the complete NUN5 character resource.
UI-VICTORY-059	1	mode1_tyw	x\name\tyo\name.bmp	x\name\tyw\name.bmp	whole	Official English victory character-name artwork imported with the complete NUN5 character resource.
UI-VICTORY-060	1	mode1_tyy	x\name\tyy\name.bmp	x\name\tyy\name.bmp	whole	Official English victory character-name artwork imported with the complete NUN5 character resource.
UI-VICTORY-061	1	mode1_ymt	x\battle\name\ymt\name.bmp	x\name\ymt\name.bmp	whole	Official English victory character-name artwork imported with the complete NUN5 character resource.
UI-VICTORY-062	1	mode1_zbz	x\name\zbz\name.bmp	x\name\zbz\name.bmp	whole	Official English victory character-name artwork imported with the complete NUN5 character resource.
UI-VICTORY-063	1	mode1_gar	x\name\gar\name.bmp	x\name\gar\name.bmp	whole	Official English victory character-name artwork imported with the complete NUN5 character resource.
UI-VICTORY-064	1	mode1_gav	x\name\gar\name.bmp	x\name\gav\name.bmp	whole	Official English victory character-name artwork imported with the complete NUN5 character resource.
UI-VICTORY-065	1	mode1_jrv	x\name\jrb\name.bmp	x\name\jrv\name.bmp	whole	Official English victory character-name artwork imported with the complete NUN5 character resource.
UI-VICTORY-066	1	mode1_kdv	x\name\kdm\name.bmp	x\name\kdv\name.bmp	whole	Official English victory character-name artwork imported with the complete NUN5 character resource.
UI-VICTORY-067	1	mode1_kmv	x\name\kmm\name.bmp	x\name\kmv\name.bmp	whole	Official English victory character-name artwork imported with the complete NUN5 character resource.
UI-VICTORY-068	1	mode1_nrv	x\name\nrt\name.bmp	x\name\nrv\name.bmp	whole	Official English victory character-name artwork imported with the complete NUN5 character resource.
UI-VICTORY-069	1	mode1_nwv	x\name\nrt\name.bmp	x\name\nwv\name.bmp	whole	Official English victory character-name artwork imported with the complete NUN5 character resource.
UI-VICTORY-070	1	mode1_rov	x\name\roc\name.bmp	x\name\rov\name.bmp	whole	Official English victory character-name artwork imported with the complete NUN5 character resource.
UI-VICTORY-071	1	mode1_scv	x\name\sco\name.bmp	x\name\scv\name.bmp	whole	Official English victory character-name artwork imported with the complete NUN5 character resource.
UI-VICTORY-072	1	mode1_skv	x\name\skn\name.bmp	x\name\skv\name.bmp	whole	Official English victory character-name artwork imported with the complete NUN5 character resource.
UI-VICTORY-073	1	mode1_ssv	x\name\ssk\name.bmp	x\name\ssv\name.bmp	whole	Official English victory character-name artwork imported with the complete NUN5 character resource.
UI-VICTORY-074	1	mode1_tov	x\name\tyo\name.bmp	x\name\tov\name.bmp	whole	Official English victory character-name artwork imported with the complete NUN5 character resource.
UI-VICTORY-075	1	mode1_tyv	x\name\tyy\name.bmp	x\name\tyv\name.bmp	whole	Official English victory character-name artwork imported with the complete NUN5 character resource.
