program	ordinal	nun5_file_offset	nun5_live_address	nun5_ghidra_function	nun6_rect_expansion	na2_file_offset	na2_live_address	na2_ghidra_function	context_shape_match	mapping_review
BTL	90	0x001C2D44	0x00889A44	FUN_00889460	false	0x001B9D78	0x0086DC78	FUN_0086d690	0.958	candidate
BTL	91	0x001C4F00	0x0088BC00	FUN_0088ba90	true	0x001BBF10	0x0086FE10	FUN_0086fcd0	0.583	manual_function_review
BTL	92	0x001C506C	0x0088BD6C	FUN_0088bc80	true	0x001BC08C	0x0086FF8C	FUN_0086fea0	1.000	candidate
BTL	93	0x001C5718	0x0088C418	FUN_0088c070	true	0x001BCD0C	0x00870C0C	FUN_00870270	0.667	manual_function_review
BTL	94	0x001D2490	0x00899190	FUN_00898f60	true	0x001C89F0	0x0087C8F0	FUN_0087c6e0	1.000	candidate
BTL	95	0x001D284C	0x0089954C	FUN_00899380	true	0x001C8DD4	0x0087CCD4	FUN_0087cae0	1.000	candidate
BTL	96	0x001D28A0	0x008995A0	FUN_00899380	true	0x001C8E28	0x0087CD28	FUN_0087cae0	1.000	candidate
BTL	97	0x001D6624	0x0089D324	FUN_0089d280	true	0x001CC944	0x00880844	FUN_008807a0	1.000	candidate
BTL	98	0x001D8518	0x0089F218	FUN_0089f130	true	0x001CE408	0x00882308	FUN_00882250	0.500	manual_function_review
ETC	1	0x0000CDF0	0x006D3AF0	FUN_006d37e0	false	0x0000C920	0x006C0820	FUN_006c04c0	1.000	candidate
ETC	2	0x000107CC	0x006D74CC	FUN_006d7280	false	0x0001010C	0x006C400C	FUN_006c3d70	1.000	candidate
ETC	3	0x00010B98	0x006D7898	FUN_006d7790	false	0x00010470	0x006C4370	FUN_006c4260	0.917	candidate
ETC	4	0x00010E58	0x006D7B58	FUN_006d7a70	false	0x00010708	0x006C4608	FUN_006c4520	1.000	candidate
ETC	5	0x00013B04	0x006DA804	FUN_006da790	false	0x00013184	0x006C7084	FUN_006c7010	1.000	candidate
ETC	6	0x000149C4	0x006DB6C4	FUN_006db630	false	0x00013FE0	0x006C7EE0	FUN_006c7da0	1.000	candidate
ETC	7	0x00014CC0	0x006DB9C0	FUN_006db630	false	0x000142E8	0x006C81E8	FUN_006c7da0	1.000	candidate
ETC	8	0x0001FAC4	0x006E67C4	FUN_006e6720	false	0x0001E9AC	0x006D28AC	FUN_006d27c0	1.000	candidate
ETC	9	0x0001FD08	0x006E6A08	FUN_006e6890	false	0x0001EC28	0x006D2B28	FUN_006d2910	0.917	candidate
ETC	10	0x0001FD88	0x006E6A88	FUN_006e6890	false	0x0001ECD4	0x006D2BD4	FUN_006d2910	0.833	candidate
ETC	11	0x000215C8	0x006E82C8	FUN_006e8090	false	0x00020330	0x006D4230	FUN_006d3f90	0.875	candidate
ETC	12	0x00024E4C	0x006EBB4C	FUN_006eba90	false	0x00023AB4	0x006D79B4	FUN_006d7900	0.750	candidate
ETC	13	0x00025990	0x006EC690	FUN_006ec3e0	false	0x000244F8	0x006D83F8	FUN_006d80b0	0.958	candidate
