id	enabled	section	mode	source_ref	donor_ref	capacity	source	donor	prefix	replacement	transform	arguments	reference_refs	parent_mapping_id
M0357	1	character_ultimate_jutsu	slot	NA2_ETC@0x29740	NUN5_TEXTENG@0x4C18	32	<r牙通牙|がつうが>	Fang Over Fang						
M0358	1	character_ultimate_jutsu	slot	NA2_ETC@0x29760	NUN5_TEXTENG@0x11240	32	<r牙狼牙|がろうが>	Wolf Fang Over Fang 						
M0359	1	character_ultimate_jutsu	slot	NA2_ETC@0x29830	NUN5_TEXTENG@0x4CC0	32	<r白眼|びゃくがん>	Byakugan						
M0360	1	character_ultimate_jutsu	slot	NA2_ETC@0x29A90	NUN5_TEXTENG@0x4E80	32	<r砂瀑大葬|さばくたいそう>	Giant Sand Burial						
M0361	1	menus_data	slot	NA2_ETC@0x2B2E0	NUN5_TEXTENG@0x1CC18	48	<r木|こ>ノ<r葉|は><r隠|がく>れの<r里|さと>	Hidden Leaf						
M0362	1	menus_data	slot	NA2_ETC@0x2B310	NUN5_TEXTENG@0x2C67	32	<r木|こ>ノ<r葉|は>の<r門|もん>	Leaf Gate						
M0363	1	menus_data	slot	NA2_ETC@0x2B330	NUN5_TEXTENG@0x2C80	48	<r五封結界|ごふうけっかい>の<r崖|がけ>	Five-Seal Barrier Cliff						
M0364	1	menus_data	slot	NA2_ETC@0x2B360	NUN5_TEXTENG@0x2CA0	32	<r暁|あかつき>のアジト	Akatsuki Hideout						
M0365	1	menus_data	slot	NA2_ETC@0x2B380	NUN5_TEXTENG@0x2CC0	32	<r根|ね>の<r本部|ほんぶ>	Foundation's Hideout						
M0366	1	menus_data	slot	NA2_ETC@0x2B3A0	NUN5_TEXTENG@0x2CD8	32	<r天地橋|てんちきょう>	Tenchi Bridge						
M0367	1	menus_data	slot	NA2_ETC@0x2B3C0	NUN5_TEXTENG@0x2CF0	32	<r大蛇丸|オロチまる>のアジト	Orochimaru's Hideout						
M0368	1	menus_data	slot	NA2_ETC@0x2B3E0	NUN5_TEXTENG@0x2D10	48	<r大蛇|だいじゃ>の<r祭壇|さいだん>	Altar of Orochi						
M0369	1	menus_data	slot	NA2_ETC@0x2B410	NUN5_TEXTENG@0x2D20	32	<r賑|にぎ>わいの<r里|さと>	Busy Village						
M0370	1	menus_data	slot	NA2_ETC@0x2B430	NUN5_TEXTENG@0x2D30	32	<r火影|ほかげ>の<r屋敷|やしき>	The Hokage's Mansion						
M0371	1	menus_data	slot	NA2_ETC@0x2B450	NUN5_TEXTENG@0x2D50	32	<r世界|せかい>を<r駆|か>ける	Travel the World						
M0372	1	menus_data	slot	NA2_ETC@0x2B470	NUN5_TEXTENG@0x2D70	32	<r砂隠|すながく>れの<r里|さと>	The Hidden Sand Village						
M0373	1	menus_data	slot	NA2_ETC@0x2B490	NUN5_TEXTENG@0x2D88	48	<r邪傑|じゃけつ>の<r巣穴|すあな>	Jaketsu's Lair						
M0374	1	menus_data	slot	NA2_ETC@0x2B4C0	NUN5_TEXTENG@0x2D98	32	<r赤雲|せきうん>	Red Clouds						
M0375	1	menus_data	slot	NA2_ETC@0x2B4E0	NUN5_TEXTENG@0x2DB0	32	<r激戦|げきせん>を<r越|こ>えて	Surviving a Fierce Battle						
M0376	1	menus_data	slot	NA2_ETC@0x2B500	NUN5_TEXTENG@0x2DD0	32	カカシ<r道場|どうじょう>	Kakashi Dojo						
M0377	1	menus_data	slot	NA2_ETC@0x2B520	NUN5_TEXTENG@0x2DE0	32	やすらぎと<r再会|さいかい>と	Tranquility and Reunion						
M0378	1	menus_data	slot	NA2_ETC@0x2B540	NUN5_TEXTENG@0x2E00	32	<r暗雲|あんうん><r来|きた>る	Dark Clouds on the Horizon						
M0379	1	menus_data	slot	NA2_ETC@0x2B560	NUN5_TEXTENG@0x2E20	48	<r風影|かぜかげ><r襲撃|しゅうげき>	Kazekage being attacked						
M0380	1	menus_data	slot	NA2_ETC@0x2B590	NUN5_TEXTENG@0x2E40	32	<r緊急指令|きんきゅうしれい>	Emergency Order						
M0381	1	menus_data	slot	NA2_ETC@0x2B5B0	NUN5_TEXTENG@0x2E50	32	<r走|はし>る<r緊迫|きんぱく>	Building Tension						
M0382	1	menus_data	slot	NA2_ETC@0x2B5D0	NUN5_TEXTENG@0x2E68	48	<r恐|おそ>ろしき<r怪人|かいじん>	Fearsome Demon						
M0383	1	menus_data	slot	NA2_ETC@0x2B600	NUN5_TEXTENG@0x2E78	48	<r真紅|しんく>の<r激闘|げきとう>	Crimson Battle						
M0384	1	menus_data	slot	NA2_ETC@0x2B630	NUN5_TEXTENG@0x2E90	48	<r闇|やみ>を<r抱|いだ>きし<r者|もの>たち	Those Who Embrace the Darkness						
M0385	1	menus_data	slot	NA2_ETC@0x2B660	NUN5_TEXTENG@0x2EB0	48	<r虚|うつ>ろ<r消|き>えゆく<r世界|せかい>	An Ephemeral World						
M0386	1	menus_data	slot	NA2_ETC@0x2B690	NUN5_TEXTENG@0x15D8D	16	<r絆|きずな>	Bonds						
M0387	1	menus_data	slot	NA2_ETC@0x2B6A0	NUN5_TEXTENG@0x2EC8	48	<r偽|いつわ>りの<r存在|そんざい>	An Impostor						
M0388	1	menus_data	slot	NA2_ETC@0x2B6D0	NUN5_TEXTENG@0x2EE0	48	<r最凶|さいきょう>の<r傀儡師|くぐつし>	Evil Puppetmaster						
M0389	1	menus_data	slot	NA2_ETC@0x2B700	NUN5_TEXTENG@0x2F00	32	<r決意|けつい><r固|かた>めて	Strong Determination						
M0390	1	menus_data	slot	NA2_ETC@0x2B720	NUN5_TEXTENG@0x2F18	32	サクラ<r舞|ま>う	Sakura's Dance						
M0391	1	menus_data	slot	NA2_ETC@0x2B740	NUN5_TEXTENG@0x2F28	48	<r猛|た>け<r吼|ほ>ゆる<r者|もの>	The Wild 						
M0392	1	menus_data	slot	NA2_ETC@0x2B770	NUN5_TEXTENG@0x2F40	48	<r願|ねが>い…<r空|そら>に<r舞|ま>いて	Wish... Dance on the Clouds						
M0393	1	menus_data	slot	NA2_ETC@0x2B7A0	NUN5_TEXTENG@0x2F60	48	<r新生|しんせい>の<r一斑|いっぱん>	The New Squad 1						
M0394	1	menus_data	slot	NA2_ETC@0x2B7D0	NUN5_TEXTENG@0x2F70	32	<r碧|あお>き<r背中|せなか>	Blue Silhouette						
M0395	1	menus_data	slot	NA2_ETC@0x2B7F0	NUN5_TEXTENG@0x2F82	32	<r巨悪現|きょあくあらわ>る	Great Evil Appears						
M0396	1	menus_data	slot	NA2_ETC@0x2B810	NUN5_TEXTENG@0x2FA0	48	<r荒|あ>れ<r狂|くる>う<r獣|けもの>	The Crazed Beast						
M0397	1	menus_data	slot	NA2_ETC@0x2B840	NUN5_TEXTENG@0x2FC0	48	<r切迫|せっぱく>の<r二人|ふたり>	The Imminent Duel						
M0398	1	menus_data	slot	NA2_ETC@0x2B870	NUN5_TEXTENG@0x2FE0	40	<r帰|かえ>るべき<r場所|ばしょ>へ	A Place to Call Home						
M0399	1	menus_data	slot	NA2_ETC@0x2B898	NUN5_TEXTENG@0x2FF8	28	オルゴール	Music Box						
M0400	1	menus_data	slot	NA2_ETC@0x2BB60	NUN5_TEXTENG@0x1E80	32	<r悲|かな>しみと<r怒|いか>り	Sadness and Rage						
M0401	1	menus_data	slot	NA2_ETC@0x2BB80	NUN5_TEXTENG@0x28860	32	ナルトの<r決意|けつい>	Naruto's Resolve						
M0402	1	menus_data	slot	NA2_ETC@0x2BBA0	NUN5_TEXTENG@0x4AA9	32	<r激情|げきじょう>	Passion						
M0403	1	menus_data	slot	NA2_ETC@0x2BBC0	NUN5_TEXTENG@0x1EC0	32	<r二人|ふたり>の<r繋|つな>がり	The Bond Between Us						
M0404	1	menus_data	slot	NA2_ETC@0x2BBE0	NUN5_TEXTENG@0x1EE0	32	<r再会|さいかい>…そして…	Reunion, and then...						
M0405	1	menus_data	slot	NA2_ETC@0x2BC00	NUN5_TEXTENG@0x1F00	32	サクラの<r約束|やくそく>	Sakura's Promise						
M0406	1	menus_data	slot	NA2_ETC@0x2BC20	NUN5_TEXTENG@0x28869	16	<r決意|けつい>	Resolve						
M0407	1	menus_data	slot	NA2_ETC@0x2BC30	NUN5_TEXTENG@0x1F28	24	<r負|ま>けん<r気|き>	Never Give Up						
M0408	1	menus_data	slot	NA2_ETC@0x2BC48	NUN5_TEXTENG@0x1F38	24	ナルトのために	For Naruto						
M0409	1	menus_data	slot	NA2_ETC@0x2BC60	NUN5_TEXTENG@0x1F50	32	いつも<r通|どお>り	Just Like Always						
M0410	1	menus_data	slot	NA2_ETC@0x2BC80	NUN5_TEXTENG@0x1F68	48	<r初|はじ>めての<r一言|ひとこと>	The First Word						
M0411	1	menus_data	slot	NA2_ETC@0x2BCB0	NUN5_TEXTENG@0x1F80	48	<r狙|ねら>ったキャラ<r位置|いち>	That's What I'm Going For						
M0412	1	menus_data	slot	NA2_ETC@0x2BCE0	NUN5_TEXTENG@0x1FA0	32	<r冷|つめ>たい<r言葉|ことば>	Cold Words						
M0413	1	menus_data	slot	NA2_ETC@0x2BD60	NUN5_TEXTENG@0x1FF4	48	<r成長|せいちょう>への<r喜|よろこ>び	Joy of Growth						
M0414	1	menus_data	slot	NA2_ETC@0x2BD90	NUN5_TEXTENG@0x2010	48	ナルトの<r気持|きも>ち・<r壱|いち>	Naruto's Feelings: 1						
M0415	1	menus_data	slot	NA2_ETC@0x2BDC0	NUN5_TEXTENG@0x2030	48	ナルトの<r気持|きも>ち・<r弐|に>	Naruto's Feelings: 2						
M0416	1	menus_data	slot	NA2_ETC@0x2BDF0	NUN5_TEXTENG@0x2050	32	<r正|ただ>しき<r道|みち>へ	The Path of Righteousness						
M0417	1	menus_data	slot	NA2_ETC@0x2BE10	NUN5_TEXTENG@0x2070	48	“<r暁|あかつき>”を<r前|まえ>に	Before Akatsuki						
M0418	1	menus_data	slot	NA2_ETC@0x2BE40	NUN5_TEXTENG@0x2080	48	<r偽者|にせもの>との<r遭遇|そうぐう>	Encounter with a Fake						
M0419	1	menus_data	slot	NA2_ETC@0x2BE70	NUN5_TEXTENG@0x20A0	48	<r勝利|しょうり>の<r確信|かくしん>	Belief in Victory						
M0420	1	menus_data	slot	NA2_ETC@0x2BEA0	NUN5_TEXTENG@0x20B8	32	<r近距離戦|きんきょりせん>	Close Combat						
M0421	1	menus_data	slot	NA2_ETC@0x2BEC0	NUN5_TEXTENG@0x20D0	32	<r揺|ゆ>るぎない<r自信|じしん>	Steady Confidence						
M0422	1	menus_data	slot	NA2_ETC@0x2BEE0	NUN5_TEXTENG@0x20F0	32	<r修業不足|しゅぎょうぶそく>？	Short on Training?!						
M0423	1	menus_data	slot	NA2_ETC@0x2BF00	NUN5_TEXTENG@0x2108	32	<r勝利|しょうり>！	Victory!						
M0424	1	menus_data	slot	NA2_ETC@0x2BF20	NUN5_TEXTENG@0x2120	32	<r真剣勝負|しんけんしょうぶ>！	A Serious Duel!						
M0425	1	menus_data	slot	NA2_ETC@0x2BF40	NUN5_TEXTENG@0x2130	32	<r青春|せいしゅん>とは！	Youth is...!						
M0426	1	menus_data	slot	NA2_ETC@0x2BF60	NUN5_TEXTENG@0x2140	32	<r感激|かんげき>！	Admiration!						
M0427	1	menus_data	slot	NA2_ETC@0x2BF80	NUN5_TEXTENG@0x2150	32	つっこみ<r役|やく>	Punchline						
M0428	1	menus_data	slot	NA2_ETC@0x2BFA0	NUN5_TEXTENG@0x2160	32	テンテンの<r自信|じしん>	Tenten's Confidence						
M0429	1	menus_data	slot	NA2_ETC@0x2BFC0	NUN5_TEXTENG@0x2190	32	<r勝負開始|しょうぶかいし>	The Match Begins						
M0430	1	menus_data	slot	NA2_ETC@0x2BFE0	NUN5_TEXTENG@0x21B0	32	ちょっと<r感心|かんしん>	A Little Impressed						
M0431	1	menus_data	slot	NA2_ETC@0x2C000	NUN5_TEXTENG@0x21D0	32	<r川|かわ>の<r国|くに>へ！！	To the Land of Rivers!						
M0432	1	menus_data	slot	NA2_ETC@0x2C020	NUN5_TEXTENG@0x21F0	32	<r獣|けもの>レベル…？	The Level of a Beast...?						
M0433	1	menus_data	slot	NA2_ETC@0x2C040	NUN5_TEXTENG@0x2230	40	<r高揚|こうよう>する<r心|こころ>！！	Exhilarated Heart!						
M0434	1	menus_data	slot	NA2_ETC@0x2C068	NUN5_TEXTENG@0x2248	24	さすがオレ！！	I'm Awesome!						
M0435	1	menus_data	slot	NA2_ETC@0x2C080	NUN5_TEXTENG@0x28820	40	<r謎|なぞ>の<r忍現|しのびあらわ>る	Mysterious Ninja						
M0436	1	menus_data	slot	NA2_ETC@0x2C0C0	NUN5_TEXTENG@0x2290	48	<r面倒|めんどう>くささ<r満点|まんてん>	The Biggest Drag						
M0437	1	menus_data	slot	NA2_ETC@0x2C0F0	NUN5_TEXTENG@0x22A8	32	<r男|おとこ>の<r意地|いじ>	A Man's Pride						
M0438	1	menus_data	slot	NA2_ETC@0x2C110	NUN5_TEXTENG@0x22B8	48	<r明晰|めいせき>な<r頭脳|ずのう>	A Bright Mind						
M0439	1	menus_data	slot	NA2_ETC@0x2C160	NUN5_TEXTENG@0x22C8	32	<r強力|ごうりき>チョウジ	Powerful Choji						
M0440	1	menus_data	slot	NA2_ETC@0x2C180	NUN5_TEXTENG@0x22E0	32	シカマルとの<r連係|れんけい>	Team With Shikamaru						
M0441	1	menus_data	slot	NA2_ETC@0x2C1A0	NUN5_TEXTENG@0x22F8	32	<r準備万端|じゅんびばんたん>	Well Prepared						
M0442	1	menus_data	slot	NA2_ETC@0x2C1C0	NUN5_TEXTENG@0x2308	32	<r旧知|きゅうち>の<r仲|なか>	An Old Friend						
M0443	1	menus_data	slot	NA2_ETC@0x2C1E0	NUN5_TEXTENG@0x2318	32	いの<r登場|とうじょう>	Ino Appears						
M0444	1	menus_data	slot	NA2_ETC@0x2C200	NUN5_TEXTENG@0x2328	48	<r久々|ひさびさ>の<r対面|たいめん>	A Rare Meeting						
M0445	1	menus_data	slot	NA2_ETC@0x2C230	NUN5_TEXTENG@0x2340	32	サクラと<r共闘|きょうとう>？	A Shared Cause With Sakura?						
M0446	1	menus_data	slot	NA2_ETC@0x2C250	NUN5_TEXTENG@0x2360	32	チョウジと<r連係|れんけい>	Team With Choji						
M0447	1	menus_data	slot	NA2_ETC@0x2C270	NUN5_TEXTENG@0x2370	32	<r自信満々|じしんまんまん>	Full of Confidence						
M0448	1	menus_data	slot	NA2_ETC@0x2C290	NUN5_TEXTENG@0x2388	32	<r戦闘|せんとう>へ	Into Battle						
M0449	1	menus_data	slot	NA2_ETC@0x2C2B0	NUN5_TEXTENG@0x23A0	32	<r優|やさ>しい<r言葉|ことば>	Words of Kindness						
M0450	1	menus_data	slot	NA2_ETC@0x2C2D0	NUN5_TEXTENG@0x2539	32	<r感謝|かんしゃ>	Thanks						
M0451	1	menus_data	slot	NA2_ETC@0x2C2F0	NUN5_TEXTENG@0x23C8	32	アスマの<r意地|いじ>	Asuma's Pride						
M0452	1	menus_data	slot	NA2_ETC@0x2C310	NUN5_TEXTENG@0x23D8	32	<r新|あら>たな<r手|て>	A New Choice						
M0453	1	menus_data	slot	NA2_ETC@0x2C330	NUN5_TEXTENG@0x23F0	32	ナルトとの<r再会|さいかい>	Reunion With Naruto						
M0454	1	menus_data	slot	NA2_ETC@0x2C350	NUN5_TEXTENG@0x2408	32	<r大|おお>きくなった？	You've Grown?						
M0455	1	menus_data	slot	NA2_ETC@0x2C370	NUN5_TEXTENG@0x2418	32	ヒナタが<r倒|たお>れて	Hinata Falls						
M0456	1	menus_data	slot	NA2_ETC@0x2C390	NUN5_TEXTENG@0x2428	24	ヒナタを<r守|まも>って	Protect Hinata						
M0457	1	menus_data	slot	NA2_ETC@0x2C410	NUN5_TEXTENG@0x24B0	32	<r静|しず>かなる<r自信|じしん>	Silent Confidence						
M0458	1	menus_data	slot	NA2_ETC@0x2C430	NUN5_TEXTENG@0x24C8	32	<r微|かす>かな<r安心|あんしん>	Faint Unease						
M0459	1	menus_data	slot	NA2_ETC@0x2C450	NUN5_TEXTENG@0x24E0	32	ナルトを<r見|み>かけて	Naruto Spotting						
M0460	1	menus_data	slot	NA2_ETC@0x2C470	NUN5_TEXTENG@0x24F0	32	<r戦闘前|せんとうまえ>	Before Battle						
M0461	1	menus_data	slot	NA2_ETC@0x2C490	NUN5_TEXTENG@0x2500	32	つのる<r心配|しんぱい>	Growing Worry						
M0462	1	menus_data	slot	NA2_ETC@0x2C4B0	NUN5_TEXTENG@0x2510	32	ナルトの<r助太刀|すけだち>	Coming to Naruto's Aid						
M0463	1	menus_data	slot	NA2_ETC@0x2C4D0	NUN5_TEXTENG@0x2530	48	<r感謝|かんしゃ>の<r言葉|ことば>	Words of Thanks						
M0464	1	menus_data	slot	NA2_ETC@0x2C500	NUN5_TEXTENG@0x2540	32	<r幻術使|げんじゅつつか>い	Genjutsu User						
M0465	1	menus_data	slot	NA2_ETC@0x2C520	NUN5_TEXTENG@0x2550	32	アスマと<r共闘|きょうとう>	A Shared Cause With Asuma						
M0466	1	menus_data	slot	NA2_ETC@0x2C540	NUN5_TEXTENG@0x2570	32	<r共|とも>に…！	Together!						
M0467	1	menus_data	slot	NA2_ETC@0x2C560	NUN5_TEXTENG@0x2580	32	<r肩透|かたす>かし	Dodging the Issue						
M0468	1	menus_data	slot	NA2_ETC@0x2C580	NUN5_TEXTENG@0x25A0	48	<r不注意厳禁|ふちゅういげんきん>	Caution Required						
M0469	1	menus_data	slot	NA2_ETC@0x2C5B0	NUN5_TEXTENG@0x25B8	32	<r風影|かぜかげ>として	As a Kazekage						
M0470	1	menus_data	slot	NA2_ETC@0x2C5D0	NUN5_TEXTENG@0x25D0	48	<r空虚|くうきょ>な<r世界|せかい>で	In a World of Emptiness						
M0471	1	menus_data	slot	NA2_ETC@0x2C600	NUN5_TEXTENG@0x25E8	32	<r存在|そんざい>	Existence						
M0472	1	menus_data	slot	NA2_ETC@0x2C620	NUN5_TEXTENG@0x25F8	32	<r新|あたら>しい<r自分|じぶん>	A New Me						
M0473	1	menus_data	slot	NA2_ETC@0x2C640	NUN5_TEXTENG@0x2608	24	<r弟|おとうと>のために	For My Brother						
M0474	1	menus_data	slot	NA2_ETC@0x2C658	NUN5_TEXTENG@0x2618	24	<r驚|おどろ>き	Surprise						
M0475	1	menus_data	slot	NA2_ETC@0x2C670	NUN5_TEXTENG@0x2630	48	<r滲|にじ>み<r出|で>る<r悔|くや>しさ	Dripping With Frustration						
M0476	1	menus_data	slot	NA2_ETC@0x2C6A0	NUN5_TEXTENG@0x2650	32	<r自慢|じまん>の<r傀儡|くぐつ>	Pride in Puppets						
M0477	1	menus_data	slot	NA2_ETC@0x2C6C0	NUN5_TEXTENG@0x2668	32	<r姉|あね>と<r共|とも>に	With My Sister						
M0478	1	menus_data	slot	NA2_ETC@0x2C6E0	NUN5_TEXTENG@0x2680	48	<r風|かぜ>の<r使|つか>い<r手|て>	Wielder of the Wind						
M0479	1	menus_data	slot	NA2_ETC@0x2C710	NUN5_TEXTENG@0x2698	32	<r我愛羅|ガアラ>の<r前|まえ>で	Before Gaara						
M0480	1	menus_data	slot	NA2_ETC@0x2C730	NUN5_TEXTENG@0x26A8	32	<r手加減|てかげん>	Going Easy						
M0481	1	menus_data	slot	NA2_ETC@0x2C770	NUN5_TEXTENG@0x26B8	32	<r邂逅|かいこう>	Chance Meeting						
M0482	1	menus_data	slot	NA2_ETC@0x2C7C0	NUN5_TEXTENG@0x26D0	48	<r九尾|きゅうび>の<r人柱力|じんちゅうりき>	Host to Nine Tails						
M0483	1	menus_data	slot	NA2_ETC@0x2C7F0	NUN5_TEXTENG@0x26EA	48	<r強者|きょうしゃ>の<r男|おとこ>	Strong Man						
M0484	1	menus_data	slot	NA2_ETC@0x2C820	NUN5_TEXTENG@0x2700	48	<r珍獣|ちんじゅう>との<r再会|さいかい>	Re-encounter with the odd beast						
M0485	1	menus_data	slot	NA2_ETC@0x2C850	NUN5_TEXTENG@0x2720	32	<r獣|けもの>レベル	Beast Level						
M0486	1	menus_data	slot	NA2_ETC@0x2C870	NUN5_TEXTENG@0x2730	48	<r襲|おそ>い<r掛|か>かる<r鬼鮫|キサメ>	Attacking Kisame						
M0487	1	menus_data	slot	NA2_ETC@0x2C8A0	NUN5_TEXTENG@0x2750	48	<r高揚|こうよう>する<r心|こころ>	Exhilarated Heart						
M0488	1	menus_data	slot	NA2_ETC@0x2C8D0	NUN5_TEXTENG@0x2768	32	<r苛立|いらだ>ち	Irritation						
M0489	1	menus_data	slot	NA2_ETC@0x2C8F0	NUN5_TEXTENG@0x2780	48	<r一尾|いちび>の<r人柱力|じんちゅうりき>	Host to One Tail						
M0490	1	menus_data	slot	NA2_ETC@0x2C920	NUN5_TEXTENG@0x27A0	32	<r刺激|しげき>を<r求|もと>めて	Looking for Excitement						
M0491	1	menus_data	slot	NA2_ETC@0x2C940	NUN5_TEXTENG@0x27B8	32	<r変|か>わり<r者|もの>	Peculiar						
M0492	1	menus_data	slot	NA2_ETC@0x2C960	NUN5_TEXTENG@0x27D0	32	デイダラの<r挑発|ちょうはつ>	Deidara's Challenge						
M0493	1	menus_data	slot	NA2_ETC@0x2C980	NUN5_TEXTENG@0x27E8	16	<r予告|よこく>	Premonition						
M0494	1	menus_data	slot	NA2_ETC@0x2C9C0	NUN5_TEXTENG@0x2830	32	<r最後|さいご>の<r喜|よろこ>び	Final Happiness						
M0495	1	menus_data	slot	NA2_ETC@0x2C9E0	NUN5_TEXTENG@0x2840	32	<r砂|すな>と<r木|こ>ノ<r葉|は>	The Sand and the Leaf 						
M0496	1	menus_data	slot	NA2_ETC@0x2CA00	NUN5_TEXTENG@0x2858	32	<r最後|さいご>のお<r願|ねが>い	Last Wish						
M0497	1	menus_data	slot	NA2_ETC@0x2CA20	NUN5_TEXTENG@0x2880	32	サソリの<r性格|せいかく>	Sasori's Nature						
M0498	1	menus_data	slot	NA2_ETC@0x2CA40	NUN5_TEXTENG@0x2894	48	<r三代目風影|さんだいめかぜかげ>	Third Kazekage						
M0499	1	menus_data	slot	NA2_ETC@0x2CA70	NUN5_TEXTENG@0x28A8	32	<r自分傀儡|じぶんくぐつ>	Self Puppet						
M0500	1	menus_data	slot	NA2_ETC@0x2CA90	NUN5_TEXTENG@0x28B8	32	<r止|と>まる<r傀儡|くぐつ>	Still Puppets						
M0501	1	menus_data	slot	NA2_ETC@0x2CAB0	NUN5_TEXTENG@0x28D0	48	<r自来也|じらいや>の<r魅力|みりょく>？	Jiraiya's Appeal?						
M0502	1	menus_data	slot	NA2_ETC@0x2CAE0	NUN5_TEXTENG@0x28E8	32	<r取材|しゅざい>	Research						
M0503	1	menus_data	slot	NA2_ETC@0x2CB00	NUN5_TEXTENG@0x28F8	32	<r因縁|いんねん>のケリ	Fated Duel						
M0504	1	menus_data	slot	NA2_ETC@0x2CB20	NUN5_TEXTENG@0x2910	32	<r高笑|たかわら>い	Condescending Laugh						
M0505	1	menus_data	slot	NA2_ETC@0x2CB40	NUN5_TEXTENG@0x2930	40	<r三忍|さんにん>の<r実力|じつりょく>	The Power of the Sannin						
M0506	1	menus_data	slot	NA2_ETC@0x2CB68	NUN5_TEXTENG@0x2958	24	<r監視|かんし>	Surveillance						
M0507	1	menus_data	slot	NA2_ETC@0x2CB80	NUN5_TEXTENG@0x2970	32	<r決着|けっちゃく>の<r時|とき>	Settle the Score						
M0508	1	menus_data	slot	NA2_ETC@0x2CBA0	NUN5_TEXTENG@0x2990	48	<r綱手|ツナデ>の<r性格|せいかく>	Tsunade's Nature						
M0509	1	menus_data	slot	NA2_ETC@0x2CBD0	NUN5_TEXTENG@0x29B4	32	<r五代目火影|ごだいめほかげ>	Fifth Hokage						
M0510	1	menus_data	slot	NA2_ETC@0x2CBF0	NUN5_TEXTENG@0x29D0	32	<r綱手|ツナデ>と<r組手|くみて>	Sparring with Tsunade						
M0511	1	menus_data	slot	NA2_ETC@0x2CC10	NUN5_TEXTENG@0x29F0	32	<r本領発揮|ほんりょうはっき>	Realizing Potential 						
M0512	1	menus_data	slot	NA2_ETC@0x2CC30	NUN5_TEXTENG@0x2A10	32	<r付|つ>き<r人|びと>シズネ	Attendant Shizune						
M0513	1	menus_data	slot	NA2_ETC@0x2CC50	NUN5_TEXTENG@0x2A30	40	<r医療忍者|いりょうにんじゃ>として	As a Medical Ninja						
M0514	1	menus_data	slot	NA2_ETC@0x2CC78	NUN5_TEXTENG@0x2A50	24	おめでとう！	Congratulations!						
M0515	1	menus_data	slot	NA2_ETC@0x2CC90	NUN5_TEXTENG@0x2A68	32	<r代行|だいこう>の<r男|おとこ>	The Stand-In						
M0516	1	menus_data	slot	NA2_ETC@0x2CCB0	NUN5_TEXTENG@0x2A78	16	チームワーク	Teamwork						
M0517	1	menus_data	slot	NA2_ETC@0x2CCC0	NUN5_TEXTENG@0x2A90	48	<r共通|きょうつう>の<r目的|もくてき>	A Shared Purpose						
M0518	1	menus_data	slot	NA2_ETC@0x2CCF0	NUN5_TEXTENG@0x2AB0	32	<r軽|かる>い<r挑発|ちょうはつ>	A Light Provocation						
M0519	1	menus_data	slot	NA2_ETC@0x2CD10	NUN5_TEXTENG@0x2AD0	32	<r行動|こうどう>あるのみ	No Choice But Action						
M0520	1	menus_data	slot	NA2_ETC@0x2CD30	NUN5_TEXTENG@0x2AF0	48	<r大蛇丸|オロチまる><r現|あらわ>る	Orochimaru is Coming						
M0521	1	menus_data	slot	NA2_ETC@0x2CD60	NUN5_TEXTENG@0x2B08	32	<r挑発|ちょうはつ>	No Worries						
M0522	1	menus_data	slot	NA2_ETC@0x2CD80	NUN5_TEXTENG@0x2B18	32	<r二人|ふたり>の<r対比|たいひ>	Provocation						
M0523	1	menus_data	slot	NA2_ETC@0x2CDA0	NUN5_TEXTENG@0x2B30	32	<r通告|つうこく>	Contrasting Pair						
M0524	1	menus_data	slot	NA2_ETC@0x2CDC0	NUN5_TEXTENG@0x2B50	48	<r五年|ごねん>ぶりの<r再会|さいかい>	A Reunion After Five Years						
M0525	1	menus_data	slot	NA2_ETC@0x2CDF0	NUN5_TEXTENG@0x2B70	32	<r共感|きょうかん>	Sympathy						
M0526	1	menus_data	slot	NA2_ETC@0x2CE30	NUN5_TEXTENG@0x21B9	32	<r感心|かんしん>	Impressed						
M0527	1	menus_data	slot	NA2_ETC@0x2CE90	NUN5_TEXTENG@0x2BE8	32	<r愚|おろ>かなること	Foolishness						
M0528	1	menus_data	slot	NA2_ETC@0x2DDA0	NUN5_TEXTENG@0x3E78	24	シミュレーション	Simulation						
M0529	1	menus_data	slot	NA2_ETC@0x2EE50	NUN5_TEXTENG@0x778	32	<r対戦相手|たいせんあいて>	Opponent						
M0530	1	menus_data	slot	NA2_ETC@0x2F230	NUN5_TEXTENG@0x1490	112	<r購入|こうにゅう>する<r商品|しょうひん>を<r選|えら>び、<iconCIRCLE>ボタンを<r押|お>してください。	Press <iconCIRCLE> to choose item.						
M0531	1	menus_data	slot	NA2_ETC@0x2F2A0	NUN5_TEXTENG@0x14B8	48	<r人形|にんぎょう>を<r購入|こうにゅう>します。	Buy Figures.						
M0532	1	menus_data	slot	NA2_ETC@0x2F2D0	NUN5_TEXTENG@0x14D0	48	<r奥義|おうぎ>を<r購入|こうにゅう>します。	Buy Ultimate Jutsu.						
M0533	1	menus_data	slot	NA2_ETC@0x2F300	NUN5_TEXTENG@0x14E8	48	<r音楽|おんがく>を<r購入|こうにゅう>します。	Buy Music.						
M0534	1	menus_data	slot	NA2_ETC@0x2F330	NUN5_TEXTENG@0x14F8	48	<r音声|おんせい>を<r購入|こうにゅう>します。	Buy Sound.						
